City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Nashville,"3,123",31,0,0,0,31,75,6,66,3,0
New Athens,"1,957",2,0,0,0,2,16,2,14,0,0
New Baden,"3,323",0,0,0,0,0,33,0,33,0,7
New Berlin,"1,357",0,0,0,0,0,9,1,8,0,0
New Lenox,"25,682",27,0,9,6,12,264,44,214,6,3
Niles,"30,044",26,0,2,7,17,534,73,448,13,2
Nokomis,"2,180",5,0,0,0,5,27,4,23,0,0
Normal,"55,096",120,0,38,17,65,"1,175",194,948,33,1
Norridge,"14,697",10,0,2,3,5,495,32,451,12,0
North Aurora,"17,492",13,0,2,4,7,221,35,182,4,0
Northbrook,"33,768",13,0,5,6,2,355,43,306,6,2
Northfield,"5,497",1,0,1,0,0,35,3,30,2,0
Northlake,"12,382",11,1,1,2,7,258,39,216,3,0
North Riverside,"6,703",15,0,0,10,5,411,10,392,9,0
Oak Brook,"8,108",10,0,1,1,8,499,23,474,2,0
Oakbrook Terrace,"2,180",3,0,1,0,2,98,11,86,1,0
Oak Forest,"28,222",38,0,8,13,17,272,50,205,17,0
Oak Lawn,"57,112",71,0,8,22,41,816,107,671,38,1
Oakwood,"1,530",3,0,0,2,1,16,4,12,0,0
Oakwood Hills,"2,067",0,0,0,0,0,13,0,12,1,0
Oblong,"1,416",5,0,0,0,5,21,9,12,0,0
O'Fallon,"29,159",36,0,11,7,18,488,52,421,15,2
Okawville,"1,395",3,0,0,0,3,14,1,11,2,0
Old Shawneetown,176,0,0,0,0,0,1,0,1,0,0
Olney,"9,006",19,0,5,1,13,256,30,214,12,4
Olympia Fields,"5,058",6,0,4,1,1,121,15,104,2,0
Onarga,"1,321",0,0,0,0,0,12,8,4,0,0
Orion,"1,827",2,0,0,0,2,18,3,14,1,0
Orland Park,"59,161",26,0,1,11,14,"1,203",32,"1,157",14,1
Oswego,"33,774",26,0,11,3,12,458,33,418,7,1
Ottawa,"18,350",24,0,2,2,20,446,46,399,1,2
Palatine,"69,583",36,0,8,15,13,603,18,569,16,2
Palestine,"1,321",14,0,2,0,12,23,3,19,1,0
Palos Heights,"12,616",0,0,0,0,0,66,4,59,3,1
Palos Hills,"17,660",8,0,1,1,6,104,19,78,7,0
Palos Park,"4,919",0,0,0,0,0,35,4,29,2,0
Paris,"8,419",26,0,3,0,23,216,74,122,20,2
Park City,"7,410",7,0,4,1,2,130,38,77,15,0
Park Forest,"22,046",73,1,15,26,31,398,95,283,20,5
Patoka,564,0,0,0,0,0,0,0,0,0,0
Pawnee,"2,721",1,0,0,0,1,4,4,0,0,0
Paxton,"4,310",25,0,4,2,19,84,22,61,1,0
Pecatonica,"2,123",5,0,2,0,3,16,2,14,0,0
Pekin,"33,759",114,1,24,6,83,756,95,631,30,3
Peoria,"116,066",772,14,64,310,384,"4,448","1,084","3,224",140,38
Peoria Heights,"6,006",33,0,10,4,19,168,48,113,7,3
Peotone,"4,133",0,0,0,0,0,31,4,23,4,0
Peru,"9,948",18,0,3,2,13,195,20,173,2,0
Petersburg,"2,206",8,0,0,0,8,17,5,12,0,0
Phoenix,"1,970",13,0,1,5,7,54,25,22,7,0
Pierron,566,0,0,0,0,0,0,0,0,0,0
Pinckneyville,"5,509",2,0,0,0,2,36,7,29,0,0
Pittsfield,"4,473",7,0,0,2,5,75,11,62,2,0
Plainfield,"42,706",39,1,10,7,21,348,44,294,10,2
Plano,"11,247",5,0,0,5,0,126,11,112,3,0
Pleasant Hill,938,0,0,0,0,0,1,1,0,0,0
Pleasant Plains,804,0,0,0,0,0,5,0,5,0,0
